Time (s);IRQ;;FSM;
0.00048125;0;0;1;0.00000125
0.0004825;0;0;1;0.00000125
0.00048375;0;0;1;0.00000125
0.000485;0;0;1;1.25E-06
0.00048625;0;0;1;0.00000125
0.0004875;0;0;1;1.25E-06
0.00048875;0;0;1;1.25E-06
0.00049;0;0;1;1.25E-06
0.00049125;0;0;1;1.25E-06
0.0004925;0;0;1;1.25E-06
0.00049375;0;0;1;1.25E-06
0.000495;0;0;1;1.25E-06
0.00049625;0;0;1;1.25E-06
0.0004975;0;0;1;1.25E-06
0.00049875;0;0;1;1.25E-06
0.0005;0;0;1;1.25E-06
0.00050125;0;0;1;1.25E-06
0.0005025;0;0;1;1.25E-06
0.00050375;0;0;1;1.25E-06
0.000505;0;0;1;1.25E-06
0.00050625;0;0;1;1.25E-06
0.0005075;0;0;1;1.25E-06
0.00050875;0;0;1;1.25E-06
0.00051;0;0;1;1.25E-06
0.00051125;0;0;1;1.25E-06
0.0005125;0;0;1;1.25E-06
0.00051375;0;0;1;1.25E-06
0.000515;0;0;1;1.25E-06
0.00051625;0;0;1;1.25E-06
0.0005175;0;0;1;1.25E-06
0.00051875;0;0;1;1.25E-06
0.00052;0;0;1;1.25E-06
0.00052125;0;0;1;1.25E-06
0.0005225;0;0;1;1.25E-06
0.00052375;0;0;1;1.25E-06
0.000525;0;0;1;1.25E-06
0.00052625;0;0;1;1.25E-06
0.0005275;0;0;1;1.25E-06
0.00052875;0;0;1;1.25E-06
0.00053;0;0;1;1.25E-06
0.00053125;0;0;1;1.25E-06
0.0005325;0;0;1;1.25E-06
0.00053375;0;0;1;1.25E-06
0.000535;0;0;1;1.25E-06
0.00053625;0;0;1;1.25E-06
0.0005375;0;0;1;1.25E-06
0.00053875;0;0;1;1.25E-06
0.00054;0;0;1;1.25E-06
0.00054125;0;0;1;1.25E-06
0.0005425;0;0;1;1.25E-06
0.00054375;0;0;1;1.25E-06
0.000545;0;0;1;1.25E-06
0.00054625;0;0;1;1.25E-06
0.0005475;0;0;1;1.25E-06
0.00054875;0;0;1;1.25E-06
0.00055;0;0;1;1.25E-06
0.00055125;0;0;1;1.25E-06
0.0005525;0;0;1;1.25E-06
0.00055375;0;0;1;1.25E-06
0.000555;0;0;1;1.25E-06
0.00055625;0;0;1;1.25E-06
0.0005575;0;0;1;1.25E-06
0.00055875;0;0;1;1.25E-06
0.00056;0;0;1;1.25E-06
0.00056125;0;0;1;1.25E-06
0.0005625;0;0;1;1.25E-06
0.00056375;0;0;1;1.25E-06
0.000565;0;0;1;1.25E-06
0.00056625;0;0;1;1.25E-06
0.0005675;0;0;1;1.25E-06
0.00056875;0;0;1;1.25E-06
0.00057;0;0;1;1.25E-06
0.00057125;0;0;1;1.25E-06
0.0005725;0;0;1;1.25E-06
0.00057375;0;0;1;1.25E-06
0.000575;0;0;1;1.25E-06
0.00057625;0;0;1;1.25E-06
0.0005775;0;0;1;1.25E-06
0.00057875;0;0;1;1.25E-06
0.00058;0;0;1;1.25E-06
0.00058125;0;0;1;1.25E-06
0.0005825;0;0;1;1.25E-06
0.00058375;0;0;1;1.25E-06
0.000585;0;0;1;1.25E-06
0.00058625;0;0;1;1.25E-06
0.0005875;0;0;1;1.25E-06
0.00058875;0;0;1;1.25E-06
0.00059;0;0;1;1.25E-06
0.00059125;0;0;1;1.25E-06
0.0005925;0;0;1;1.25E-06
0.00059375;0;0;1;1.25E-06
0.000595;0;0;1;1.25E-06
0.00059625;0;0;1;1.25E-06
0.0005975;0;0;1;1.25E-06
0.00059875;0;0;1;1.25E-06
0.0006;0;0;1;1.25E-06
0.00060125;0;0;1;1.25E-06
0.0006025;0;0;1;1.25E-06
0.00060375;0;0;1;1.25E-06
0.000605;0;0;1;1.25E-06
0.00060625;0;0;1;1.25E-06
0.0006075;0;0;1;1.25E-06
0.00060875;0;0;1;1.25E-06
0.00061;0;0;1;1.25E-06
