Time (s);IRQ;;FSM;
-0.02408535;0;0;1;3.13E-06
-0.02408222;0;0;1;3.13E-06
-0.02407909;0;0;1;3.13E-06
-0.02407596;0;0;1;3.13E-06
-0.02407283;0;0;1;3.13E-06
-0.0240697;0;0;1;3.13E-06
-0.02406657;0;0;1;3.13E-06
-0.02406344;0;0;1;3.13E-06
-0.02406031;0;0;1;3.13E-06
-0.02405718;0;0;1;3.13E-06
-0.02405405;0;0;1;3.13E-06
-0.02405092;0;0;1;3.13E-06
-0.02404779;0;0;1;3.13E-06
-0.02404466;0;0;1;3.13E-06
-0.02404153;0;0;1;3.13E-06
-0.0240384;0;0;1;3.13E-06
-0.02403527;0;0;1;3.13E-06
-0.02403214;0;0;1;3.13E-06
-0.02402901;0;0;1;3.13E-06
-0.02402588;0;0;1;3.13E-06
-0.02402275;0;0;1;3.13E-06
-0.02401962;0;0;1;3.13E-06
-0.02401649;0;0;1;3.13E-06
-0.02401336;0;0;1;3.13E-06
-0.02401023;0;0;1;3.13E-06
-0.0240071;0;0;1;3.13E-06
-0.02400397;0;0;1;3.13E-06
-0.02400084;0;0;1;3.13E-06
-0.02399771;0;0;1;3.13E-06
-0.02399458;0;0;1;3.13E-06
-0.02399145;0;0;1;3.13E-06
-0.02398832;1;3.13E-06;1;3.13E-06
-0.02398519;1;3.13E-06;1;3.13E-06
-0.02398206;0;0;1;3.13E-06
-0.02397893;0;0;1;3.13E-06
-0.0239758;0;0;1;3.13E-06
-0.02397267;0;0;1;3.13E-06
-0.02396954;0;0;1;3.13E-06
-0.02396641;0;0;1;3.13E-06
-0.02396328;0;0;1;3.13E-06
-0.02396015;0;0;1;3.13E-06
-0.02395702;0;0;1;3.13E-06
-0.02395389;0;0;1;3.13E-06
-0.02395076;0;0;1;3.13E-06
-0.02394763;0;0;1;3.13E-06
-0.0239445;0;0;1;3.13E-06
-0.02394137;0;0;1;3.13E-06
-0.02393824;0;0;1;3.13E-06
-0.02393511;0;0;1;3.13E-06
-0.02393198;0;0;1;3.13E-06
-0.02392885;0;0;1;3.13E-06
-0.02392572;0;0;1;3.13E-06
-0.02392259;0;0;1;3.13E-06
-0.02391946;0;0;1;3.13E-06
-0.02391633;0;0;1;3.13E-06
-0.0239132;0;0;1;3.13E-06
-0.02391007;0;0;1;3.13E-06
-0.02390694;0;0;1;3.13E-06
-0.02390381;0;0;1;3.13E-06
-0.02390068;0;0;1;3.13E-06
-0.02389755;0;0;1;3.13E-06
-0.02389442;0;0;1;3.13E-06
-0.02389129;0;0;1;3.13E-06
-0.02388816;0;0;1;3.13E-06
-0.02388503;0;0;1;3.13E-06
-0.0238819;0;0;1;3.13E-06
-0.02387877;0;0;1;3.13E-06
-0.02387564;0;0;1;3.13E-06
-0.02387251;0;0;1;3.13E-06
-0.02386938;0;0;1;3.13E-06
-0.02386625;0;0;1;3.13E-06
-0.02386312;0;0;1;3.13E-06
-0.02385999;0;0;1;3.13E-06
-0.02385686;0;0;1;3.13E-06
-0.02385373;0;0;1;3.13E-06
-0.0238506;0;0;1;3.13E-06
-0.02384747;0;0;1;3.13E-06
-0.02384434;0;0;1;3.13E-06
-0.02384121;0;0;1;3.13E-06
-0.02383808;0;0;1;3.13E-06
-0.02383495;0;0;1;3.13E-06
-0.02383182;0;0;1;3.13E-06
-0.02382869;0;0;1;3.13E-06
-0.02382556;0;0;1;3.13E-06
-0.02382243;0;0;1;3.13E-06
-0.0238193;0;0;1;3.13E-06
-0.02381617;0;0;1;3.13E-06
-0.02381304;0;0;1;3.13E-06
-0.02380991;0;0;1;3.13E-06
-0.02380678;0;0;1;3.13E-06
-0.02380365;0;0;1;3.13E-06
-0.02380052;0;0;1;3.13E-06
-0.02379739;0;0;1;3.13E-06
-0.02379426;0;0;1;3.13E-06
-0.02379113;0;0;1;3.13E-06
-0.023788;0;0;1;3.13E-06
-0.02378487;0;0;1;3.13E-06
-0.02378174;0;0;1;3.13E-06
-0.02377861;0;0;1;3.13E-06
-0.02377548;0;0;1;3.13E-06
-0.02377235;0;0;1;3.13E-06
-0.02376922;0;0;1;3.13E-06
-0.02376609;0;0;1;3.13E-06
-0.02376296;0;0;1;3.13E-06
-0.02375983;0;0;1;3.13E-06
-0.0237567;0;0;1;3.13E-06
-0.02375357;0;0;1;3.13E-06
-0.02375044;0;0;1;3.13E-06
-0.02374731;0;0;1;3.13E-06
-0.02374418;0;0;1;3.13E-06
-0.02374105;0;0;1;3.13E-06
-0.02373792;0;0;1;3.13E-06
-0.02373479;0;0;1;3.13E-06
-0.02373166;0;0;1;3.13E-06
-0.02372853;0;0;1;3.13E-06
-0.0237254;0;0;1;3.13E-06
-0.02372227;0;0;1;3.13E-06
-0.02371914;0;0;1;3.13E-06
-0.02371601;0;0;1;3.13E-06
-0.02371288;0;0;1;3.13E-06
-0.02370975;0;0;1;3.13E-06
-0.02370662;0;0;1;3.13E-06
-0.02370349;0;0;1;3.13E-06
-0.02370036;0;0;1;3.13E-06
-0.02369723;0;0;1;3.13E-06
-0.0236941;0;0;1;3.13E-06
-0.02369097;0;0;1;3.13E-06
-0.02368784;0;0;1;3.13E-06
-0.02368471;0;0;1;3.13E-06
-0.02368158;0;0;1;3.13E-06
-0.02367845;0;0;1;3.13E-06
-0.02367532;0;0;1;3.13E-06
-0.02367219;0;0;1;3.13E-06
-0.02366906;0;0;1;3.13E-06
-0.02366593;0;0;1;3.13E-06
-0.0236628;0;0;1;3.13E-06
-0.02365967;0;0;1;3.13E-06
-0.02365654;0;0;1;3.13E-06
-0.02365341;0;0;1;3.13E-06
-0.02365028;0;0;1;3.13E-06
-0.02364715;0;0;1;3.13E-06
-0.02364402;0;0;1;3.13E-06
-0.02364089;0;0;1;3.13E-06
-0.02363776;0;0;1;3.13E-06
-0.02363463;0;0;1;3.13E-06
-0.0236315;0;0;1;3.13E-06
-0.02362837;0;0;1;3.13E-06
-0.02362524;1;3.13E-06;1;3.13E-06
-0.02362211;1;3.13E-06;1;3.13E-06
-0.02361898;0;0;1;3.13E-06
-0.02361585;0;0;1;3.13E-06
-0.02361272;0;0;1;3.13E-06
-0.02360959;0;0;1;3.13E-06
-0.02360646;0;0;1;3.13E-06
-0.02360333;0;0;1;3.13E-06
-0.0236002;1;3.13E-06;1;3.13E-06
-0.02359707;1;3.13E-06;1;3.13E-06
-0.02359394;0;0;1;3.13E-06
-0.02359081;0;0;1;3.13E-06
-0.02358768;0;0;1;3.13E-06
-0.02358455;0;0;1;3.13E-06
-0.02358142;0;0;1;3.13E-06
-0.02357829;0;0;1;3.13E-06
-0.02357516;0;0;1;3.13E-06
-0.02357203;0;0;1;3.13E-06
-0.0235689;0;0;1;3.13E-06
-0.02356577;0;0;1;3.13E-06
-0.02356264;0;0;1;3.13E-06
-0.02355951;0;0;1;3.13E-06
-0.02355638;0;0;1;3.13E-06
-0.02355325;0;0;1;3.13E-06
-0.02355012;0;0;1;3.13E-06
-0.02354699;0;0;1;3.13E-06
-0.02354386;0;0;1;3.13E-06
-0.02354073;0;0;1;3.13E-06
-0.0235376;0;0;1;3.13E-06
-0.02353447;0;0;1;3.13E-06
-0.02353134;0;0;1;3.13E-06
-0.02352821;0;0;1;3.13E-06
-0.02352508;0;0;1;3.13E-06
